Emma,mirra
Elizabeth,onega
Margaret,neli
Minnie,zimfera
Ida,aliftina
Annie,sharifa
Bertha,betya
Alice,illona
Clara,ulita
Sarah,saliya
Ella,evdakiya
Nellie,gulzigan
Grace,gulnisa
Florence,maulida
Martha,ameliya
Cora,salma
Laura,polya
Carrie,marksina
Maude,nadezhla
Bessie,samira
Mabel,lejli
Gertrude,yamilya
Ethel,gulgena
Jennie,iliya
Edith,alberta
Hattie,raulya
Mattie,neonilla
Julia,innessa
Rose,panna
Lillian,mukarama
Lillie,liniza
Eva,minegul
Jessie,konstantsiya
Lula,elli
Myrtle,zdislava
Pearl,magdalena
Edna,nadzheda
Catherine,fevronya
Ada,suliko
Louise,larina
Helen,liyana
Lucy,khristinya
Frances,naliya
Dora,aksiniya
Fannie,krestinya
Josephine,armine
Daisy,fadi
Lena,hatalya
Maggie,ntalya
Katherine,lyuli
Rosa,engelina
Marie,miriya
Nora,bibisara
Effie,ruf
Blanche,mirdza
May,zagida
Nancy,rafisa
Della,zagira
Agnes,lyubmila
Nettie,miryam
Sallie,nafisya
Stella,solomeya
Ellen,donata
Mamie,domnikiya
Lizzie,domenika
Susie,rogneda
Sadie,rufa
Elsie,mavliya
Maud,fatikha
Flora,gulya
Caroline,sirina
Etta,taliga
Mae,gelnur
Lulu,nata
Lydia,geliya
Alma,sagida
Susan,anfeya
Lottie,manana
Addie,vesta
Mollie,milda
Katie,ilza
Ruth,gadiya
Harriet,anastiya
Kate,araksiya
Amanda,minadora
Nannie,appolinarya
Georgia,filzya
Emily,milaniya
Eliza,sveta
Viola,majsara
Amelia,firaya
Willie,mileusha
Charlotte,mechislava
Rebecca,svtelana
Belle,erina
Kathryn,ginda
Jane,palageya
Olive,fajma
Virginia,khaniya
Irene,magruj
Hannah,lorina
Ora,idaliya
Esther,eteri
Matilda,safura
Henrietta,etya
Theresa,malgozhata
Ollie,zhana
Pauline,agrofena
Estella,lyusiya
Beulah,enna
Augusta,valenitna
Rachel,anfisiya
Mildred,anfisya
Josie,fanuzya
Sara,adel
Amy,nikhama
Louisa,mirina
Luella,zajtunya
Leona,majra
Anne,aglaya
Ann,rano
Barbara,lyudila
Lola,lyubomira
Estelle,lyuda
Lela,nekhama
Millie,grunya
Nina,shaura
Iva,revmira
Sophia,reveka
Maria,yazilya
Ruby,fruma
Victoria,florentina
Evelyn,rashidya
Mayme,nasikha
Alta,manushak
Lou,lajlya
Janie,marionilla
Betty,ilsiya
Delia,landysh
Eleanor,elikanida
Marion,inzira
Dorothy,rafiga
Ina,nejlya
Celia,valida
Callie,mamduda
Bettie,nenila
Allie,palmira
Inez,saule
Dollie,muzayana
Ola,tamar
Lucinda,khatuna
Mable,natali
Rena,talina
Beatrice,ilira
Harriett,natela
Rosie,ingrida
Birdie,liba
Eula,yunona
Rhoda,yunna
Winnie,aniya
Christina,alentina
Isabelle,khadycha
Tillie,apoleniya
Abbie,elzida
Winifred,zamilya
Essie,zejnab
Lora,zorya
Sally,apoloniya
Sophie,fatma
Eunice,zuliya
Leila,nurzida
Isabel,ariada
Nell,feya
Lelia,svetlanan
Myra,argentina
Nelle,shushanik
Roxie,zalfira
Mathilda,vieno
Bertie,tekusa
Katharine,makhbuba
Lenora,raina
Lettie,zelma
Christine,araksya
Sue,ketevan
Sylvia,biruta
Cornelia,dianna
Linnie,rauziya
Alberta,madaniya
Hettie,takhmina
Adelaide,danata
Mina,kafiya
Helena,elfiya
Carolyn,olimpiya
Adeline,fetinya
Genevieve,elikonida
Johanna,anatasiya
Loretta,raushanya
Lida,leana
Fanny,teklya
Hester,vartanush
Lilly,lbdmila
Naomi,ruzhena
Lois,severina
Minerva,aleksadra
Mittie,ekateriea
Bess,izobella
Claudia,elezaveta
Leah,vinira
Lucretia,danna
Marguerite,evgenevna
Cecelia,ina
Elva,peraskoviya
Olivia,leongina
Gussie,peraskovya
Hazel,praskoviya
Isabella,yuriya
Cordelia,leonina
Rosetta,madlena
Wilhelmina,natal
Bernice,marfuga
Hilda,zubarzhat
Lucille,fluza
Polly,vitoriya
Vera,gyulnaz
Cynthia,rovza
Elnora,tarana
Francis,tyune
Selma,aya
Lily,madinat
Lura,dominika
Phoebe,zubarzyat
Teresa,flura
Angie,rashel
Hulda,ilzida
Jean,shamsiya
Louella,lika
Myrtie,gulguna
Adele,mafruza
Jeannette,shamsinur
Lyda,tagira
Virgie,maftukha
Dessie,gulnafisa
Lila,olbga
Violet,nataya
Elma,tsvetana
Madge,kifaya
Regina,tajba
Roberta,gulsiya
Catharine,dyudmila
Eugenia,eleanora
Gladys,anetta
Malinda,nurzilya
Mandy,nurzigan
Melissa,ramiya
Cecilia,vlasta
Goldie,valntina
Lee,kamiliya
Lina,frantsiska
Marian,mariyam
Elvira,adiba
Emilie,ola
Ivy,gilda
Linda,nurida
Nona,nurziya
Zella,zulkhiza
Hallie,nadazhda
Irma,minsulu
Jeanette,magsuma
Leola,nirsa
Lucile,nazima
Geneva,emmiliya
Gertie,miralda
Bridget,lyutsiana
Freda,khalimya
Dolly,genrikha
Molly,lyutsyna
Georgie,olya
Lilla,mziya
Margie,ragida
Nola,farziya
Dovie,vika
Letha,asel
Olga,iranda
George,kalisa
Meta,khristiniya
Verna,lyulmila
William,anatoliya
Adah,hadezhda
Alvina,ellona
Antoinette,etel
Bell,irida
Janet,lara
Mabelle,medina
Mertie,vilgelmina
Cassie,arusyak
Erma,dvejra
Flossie,glyusya
Louie,golda
Alpha,khani
Blanch,minzigan
Ellie,debora
Johnnie,feoniya
Lona,gilminur
Lorena,lala
Miriam,lusik
Ophelia,milavsha
Priscilla,delara
Sudie,fotina
Zula,faya
Annette,diyana
John,zirina
Norma,velentina
Rosalie,teofiliya
Vina,reya
Bonnie,iren
Corinne,feofila
Elisabeth,ilkhamiya
